"state_names","state_adf_pvalues","state_stationary_tatus"
"Alabama",0.01,"stationary"
"Alaska",0.192907691689943,"non-stationary"
"Arizona",0.0115424826191843,"stationary"
"Arkansas",0.493390840246805,"non-stationary"
"California",0.0983972588150832,"non-stationary"
"Colorado",0.456754024706625,"non-stationary"
"Connecticut",0.284648295824663,"non-stationary"
"Delaware",0.296751326461119,"non-stationary"
"District of Columbia",0.01,"stationary"
"Florida",0.357105803398718,"non-stationary"
"Georgia",0.252903313371478,"non-stationary"
"Hawaii",0.304003434055313,"non-stationary"
"Idaho",0.739746254304903,"non-stationary"
"Illinois",0.368828872070551,"non-stationary"
"Indiana",0.623667788412538,"non-stationary"
"Iowa",0.717072623820958,"non-stationary"
"Kansas",0.0725047048135221,"non-stationary"
"Kentucky",0.340880700426399,"non-stationary"
"Louisiana",0.292843284384287,"non-stationary"
"Maine",0.66664221972144,"non-stationary"
"Maryland",0.118832661911733,"non-stationary"
"Massachusetts",0.113468114676568,"non-stationary"
"Michigan",0.459645946645393,"non-stationary"
"Minnesota",0.691453149945121,"non-stationary"
"Mississippi",0.403368748676225,"non-stationary"
"Missouri",0.560966821833214,"non-stationary"
"Montana",0.526425379104371,"non-stationary"
"Nebraska",0.365255550018117,"non-stationary"
"Nevada",0.347832023875388,"non-stationary"
"New Hampshire",0.350708911753061,"non-stationary"
"New Jersey",0.171582089890894,"non-stationary"
"New Mexico",0.0444526498634451,"stationary"
"New York",0.192764430979573,"non-stationary"
"North Carolina",0.36264581427573,"non-stationary"
"North Dakota",0.108209066485649,"non-stationary"
"Ohio",0.421144107300338,"non-stationary"
"Oklahoma",0.0455043386702135,"stationary"
"Oregon",0.617709041085967,"non-stationary"
"Pennsylvania",0.302637002089956,"non-stationary"
"Rhode Island",0.559090799271277,"non-stationary"
"South Carolina",0.016653075190641,"stationary"
"South Dakota",0.426992129244909,"non-stationary"
"Tennessee",0.186707915682485,"non-stationary"
"Texas",0.0158715052403835,"stationary"
"Utah",0.029668371484703,"stationary"
"Vermont",0.247155072470393,"non-stationary"
"Virginia",0.0453713634506044,"stationary"
"Washington",0.604624495704182,"non-stationary"
"West Virginia",0.383616433215551,"non-stationary"
"Wisconsin",0.684347457309346,"non-stationary"
"Wyoming",0.575758663092144,"non-stationary"
